tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Wed Nov 23 21:01:38 +0000 2016,15484198,georgegalloway,"@Katie97531200 @RyanJHoughton the person who issued the claim of responsibility described themselves as ""trans"" and an ""anarchist"".",https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801531175546343430,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 22:08:52 +0000 2016,15484198,georgegalloway,@rugbylane @LucienSenna @Rachael_Swindon be fair I seldom predict football scores,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801548094735261696,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 21:45:21 +0000 2016,15484198,georgegalloway,"@CSCSwitzerland @CSCNorway perfect cross both sides of the goal to aim at, either side was a goal",https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801542174961782784,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 20:57:42 +0000 2016,15484198,georgegalloway,@Katie97531200 that was their own statement not mine,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801530186051284992,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 17:52:46 +0000 2016,15484198,georgegalloway,@MarcsandSparks @alanmaddison20 there are no words properly to praise this hero. Perhaps Miner will suffice,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801483646440001540,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 20:56:39 +0000 2016,15484198,georgegalloway,Dembele misses chance of a lifetime,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801529919599738880,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 20:59:12 +0000 2016,15484198,georgegalloway,@CSCNorway eh?????,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801530560766242816,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 16:01:00 +0000 2016,15484198,georgegalloway,@mhsutton untag me please from this disturbing stalker,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801455519714177024,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 16:12:36 +0000 2016,15484198,georgegalloway,Best of luck tonight for the famous Glasgow Celtic: more than just a football club #HailHail,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801458437116887040,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 12:50:03 +0000 2016,15484198,georgegalloway,The issue is not which substance was thrown directly into my face and eyes from close range. But the planned attempt to stop me speaking.,https://twitter.com/georgegalloway,George Galloway,https://twitter.com/georgegalloway/status/801407463002165248,2023-05-02T21:38:37.913Z,https://twitter.com/search?q=from%3Ageorgegalloway%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
