tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Wed May 03 20:32:00 +0000 2023,269257117,GbanAnybody,@ahmed_oris @SaharaReporters So they can't spool the data from Nigeria immigration,https://twitter.com/GbanAnybody,somebody_anybody,https://twitter.com/GbanAnybody/status/1653859978111754240,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:34:50 +0000 2023,1170083396913127425,JosefPlzenRules,"@Wyi_Gaius @VviewSsonicMair @witte_sergei Hm, dude from Nigeria who even doesn't know where the fuck is Russia or Ukraine, 🤡",https://twitter.com/JosefPlzenRules,Josef,https://twitter.com/JosefPlzenRules/status/1653860690900262913,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:45:34 +0000 2023,63709776,datGuyJoel,Who is coming from Nigeria to Canada ooo epp,https://twitter.com/datGuyJoel,Uche,https://twitter.com/datGuyJoel/status/1653863393307000835,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:57:56 +0000 2023,4845555855,datcapitano,money was stolen from Nigeria twice to pay for the same house by two different sets of politicians in two opposing parties. You really couldn’t make it up.,https://twitter.com/datcapitano,Titi Camara,https://twitter.com/datcapitano/status/1653866502968205312,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:49:25 +0000 2023,1954787334,OKARIAUKE,"@ARISEtv ""Including Peter Obi""......I swear there must be something special in that Obi his name is mentioned in about 73% of tweets from Nigeria.",https://twitter.com/OKARIAUKE,OKARIA,https://twitter.com/OKARIAUKE/status/1653864358982590467,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:53:45 +0000 2023,1403285817590702083,banggangrapp,@stonebwoy God bless  your hustle Stonebwoy what a great album love from Nigeria,https://twitter.com/banggangrapp,Flipthabang,https://twitter.com/banggangrapp/status/1653865450315325441,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:55:39 +0000 2023,1158852789377933312,Callmek4Ng,"Oof, Rory you fool🥲😂",https://twitter.com/Callmek4Ng,The Only Human Named Hamilton From Nigeria,https://twitter.com/Callmek4Ng/status/1653865930131230720,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:54:08 +0000 2023,1158852789377933312,Callmek4Ng,Wild https://t.co/44yrXNUTo2,https://twitter.com/Callmek4Ng,The Only Human Named Hamilton From Nigeria,https://twitter.com/Callmek4Ng/status/1653865547187011584,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:38:35 +0000 2023,1551582603463073792,3pplea_OFFICIAL,"Seriously bro u said it all, a clear example is a lot of American Doctors are from NIGERIA.

Government should've put us to use not to watch some of us leaving the country looking for a greener pastures.",https://twitter.com/3pplea_OFFICIAL,3pple_A👑,https://twitter.com/3pplea_OFFICIAL/status/1653861634522349568,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
Wed May 03 20:49:53 +0000 2023,1481846059773145089,NotOptimus,@Notkenzlol @rjaylin32 @fromkdwithluv If her ancestry is from Nigeria that should tell you all you need to know 😭,https://twitter.com/NotOptimus,Isaac⚡️🇹🇹,https://twitter.com/NotOptimus/status/1653864477148758018,2023-05-03T21:03:25.967Z,https://twitter.com/search?q=%22from%20nigeria%22&src=recent_search_click&f=live
