tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Wed Nov 23 16:20:55 +0000 2016,1903712426,tassagency_en,#Chechnya named Russia’s most ‘sober’ region https://t.co/p4ikHEgNpM,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801460531840290816,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 13:07:54 +0000 2016,1903712426,tassagency_en,"#Zakharova slams Kiev official’s remarks on #Donbass ‘genes’ as refusal to solve crisis
https://t.co/N9wN2yZwe2",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801411954719985664,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 15:02:51 +0000 2016,1903712426,tassagency_en,"Launch of #Proton rocket carrying #US satellite scheduled for December 22
https://t.co/rvzLSKQD2E",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801440883400970240,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 20:58:52 +0000 2016,1903712426,tassagency_en,FC Rostov defeats Bavaria at group stage match in UEFA Champions League https://t.co/NsR5U4dspz,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801530478297628672,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 23:02:13 +0000 2016,1903712426,tassagency_en,"Turkey not eager to join EU, Russian politician says https://t.co/jIfza5sFBS",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801561521855700992,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 21:54:52 +0000 2016,1903712426,tassagency_en,38 ceasefire violations reported in Syria in 24 hours — Russian Defense Ministry https://t.co/zzYwAdY3u9,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801544573059100672,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 15:36:44 +0000 2016,1903712426,tassagency_en,"#Russia starts developing national space threat warning system
https://t.co/JDDfTHXIll",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801449409208872961,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 18:19:27 +0000 2016,1903712426,tassagency_en,Foreign Ministry says Russia still keen to restore cooperation with EU https://t.co/5oqCzLthQL,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801490359067017216,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 18:05:26 +0000 2016,1903712426,tassagency_en,Rally in support to Russian military operation in Syria held outside embassy in London https://t.co/eytxFMnXLJ,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801486832353636353,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 15:29:22 +0000 2016,1903712426,tassagency_en,Kiev threatens to cut off water supply to LPR from December 1 https://t.co/dBN2HMGVQ4,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801447556316270592,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 13:49:27 +0000 2016,1903712426,tassagency_en,Belarus in talks Russia over squadron of #Su-30 SM fighter jets https://t.co/LymOJLyUKJ,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801422413795889153,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 14:37:42 +0000 2016,1903712426,tassagency_en,Putin slams detention of Russian servicemen on Ukrainian border as 'treacherous' https://t.co/YBokPKmSCT,https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801434556733734912,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 14:52:00 +0000 2016,1903712426,tassagency_en,"Trade turnover between #Russia, #Finland down 20% in 2016
https://t.co/W9p2joXhO5",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801438155593416704,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
Wed Nov 23 14:09:29 +0000 2016,1903712426,tassagency_en,"#Putin: #Fillon differs from other politicians
https://t.co/DzJjTpkwt0",https://twitter.com/tassagency_en,TASS,https://twitter.com/tassagency_en/status/801427455990960129,2023-05-03T02:32:09.152Z,https://twitter.com/search?q=from%3Atassagency_en%20since%3A2016-07-20%20until%3A2016-11-24&src=typed_query&f=live
